"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT4G29740","TE-like methylation","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29750","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29760","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29770","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29780","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29790","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29810","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29820","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29830","gbM","Unmethylated",FALSE,FALSE,NA,NA
