"gene","variance.standardized","is_hvg","is_responsive","responsive_cell_type","responsive_avg_log2FC","median_within_celltype_cv2","num_celltypes_expressed","cahn_group","bewick_group","h2az_group"
"AT3G25810",1.82948877192486,TRUE,TRUE,"columella",6.34704225994484,12.4523944951325,1,"Unmethylated","Unmethylated","Other"
"AT5G24330",1.82917962941675,TRUE,TRUE,"epidermis early",2.37060183712173,9.82362678981259,2,"gbM","Unmethylated","Other"
"AT5G24770",1.82913343891379,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G47370",1.82814721677129,TRUE,TRUE,"epidermis early",2.35366338168082,1.38460054073976,29,"Unmethylated","Unmethylated","Other"
"AT4G13310",1.82797526915339,TRUE,FALSE,NA,NA,NA,NA,"TE-like","Unmethylated","H2A.Z-Enriched"
"AT5G12110",1.82768773398048,TRUE,TRUE,"xpp ERS-",1.99983678085211,8.39900389449358,4,"gbM","Unmethylated","Other"
"AT4G24780",1.82739448048432,TRUE,TRUE,"protoxylem early",2.98421788265262,4.13011369003773,20,"Unmethylated","Unmethylated","Other"
"AT5G61550",1.82732952842056,TRUE,TRUE,"hair cells ERS-",4.42115338146926,3.04272934589399,2,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT3G58610",1.82596027013593,TRUE,TRUE,"epidermis early",2.71665300222205,3.74036575883326,23,"gbM","Unmethylated","Other"
"AT3G15700",1.82588019711043,TRUE,TRUE,"hair cells ERS-",6.25508554031368,10.1497320762999,1,"Unmethylated","Unmethylated","Other"
"AT5G58690",1.82567954054225,TRUE,TRUE,"metaphloem ERS+",5.03074523529168,4.91758823009237,3,"gbM","Unmethylated","Other"
"AT3G48940",1.82502343704521,TRUE,TRUE,"metaphloem ERS-",5.41828523867038,5.6058468501542,5,"Unmethylated","Unmethylated","Other"
"AT4G37770",1.82495110419226,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT3G04770",1.82417288295433,TRUE,TRUE,"epidermis early",2.9426432653626,9.38024187761521,5,"Unmethylated","Unmethylated","Other"
"AT5G47740",1.8241388388113,TRUE,TRUE,"hair cells ERS+",1.85147879294989,7.29706799808852,5,"Unmethylated","Unmethylated","Other"
"AT4G29570",1.82383065176578,TRUE,FALSE,NA,NA,12.7723669606247,2,"Unmethylated","Unmethylated","Other"
"AT1G08310",1.82323444375758,TRUE,TRUE,"root cap lateral",4.87821624872594,6.17594275901587,3,"gbM","Unmethylated","Other"
"AT1G68880",1.8228805927071,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT2G30540",1.82212769486329,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT5G38940",1.8217342719433,TRUE,FALSE,NA,NA,NA,NA,"TE-like","TE-like","Other"
"AT4G33110",1.82103050377715,TRUE,TRUE,"root cap lateral",2.21701031100471,4.74519904855913,12,"gbM","Unmethylated","Other"
"AT1G58320",1.82101634970127,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G13160",1.82054646691524,TRUE,TRUE,"epidermis early",3.66175915899283,4.4365250639368,3,"Unmethylated","Unmethylated","Other"
"AT2G24400",1.82023595586689,TRUE,TRUE,"hair cells early",2.31610809350095,1.50687236690767,6,"Unmethylated","gbM","Other"
"AT1G30370",1.81984540410421,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","Other"
"AT1G62360",1.81971737293174,TRUE,TRUE,"columella",9.14947022006369,11.9123084743885,1,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G42330",1.81889546897882,TRUE,TRUE,"xpp ERS+",1.80028774386522,6.84332082733787,3,"Unmethylated","Unmethylated","Other"
"AT4G08040",1.81886968863294,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","Other"
"AT1G30550",1.81671163662331,TRUE,TRUE,"epidermis early",2.76100558967358,2.08478834755005,5,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G44260",1.81576557993914,TRUE,TRUE,"hair cells ERS+",2.10961125601523,3.5402041000635,5,"Unmethylated","Unmethylated","Other"
"AT2G25210",1.81522617815127,TRUE,TRUE,"epidermis early",2.43900448799092,1.54815538117635,29,"Unmethylated","Unmethylated","Other"
"AT3G20000",1.81510593690439,TRUE,TRUE,"epidermis early",2.76391068552972,3.71834221375925,20,"gbM","gbM","H2A.Z-Depleted"
